L*,a*,b*
49.924,0.5468,14.499
50.134,0.4625,14.1762
51.2263,0.3928,14.2603
51.1238,0.3195,14.347
50.84,0.3603,13.6368
50.9087,0.3293,14.1607
51.2812,0.3304,13.9465
51.4148,0.2033,12.7062
51.4095,0.2021,13.5267
51.3542,0.1355,13.6933
51.7409,0.1877,14.1509
50.7518,0.2331,13.85
51.9332,0.3169,12.2184
51.4768,0.1699,14.1646
51.364,0.3328,14.1154
51.8548,0.274,12.7289
50.9987,0.3383,14.2448
51.107,0.3207,13.4216
51.5723,0.2391,12.7403
50.7667,0.3557,14.3181
49.654,0.4795,13.9119
49.3803,0.4918,13.8497
49.4771,0.4017,13.6377
49.7652,0.3722,13.8369
50.1762,0.3509,13.8937
49.5942,0.4449,13.8329
49.6384,0.399,13.6863
50.2745,0.5137,13.2274
49.8185,0.4449,14.6759
49.4909,0.4128,13.4399
49.6532,0.3188,12.6354
48.704,0.6156,13.715
50.9282,0.1738,14.0576
50.8138,0.2006,13.9624
50.0782,0.3473,13.8351
51.6985,0.2928,11.7775
50.6747,0.3297,14.1996
51.5271,0.3372,12.9714
51.0106,0.3228,13.3345
50.7243,0.2584,13.6714
50.9718,0.2915,13.9561
50.632,0.4313,14.0657
51.0807,0.345,14.2031
50.8749,0.4415,13.9548
51.4035,0.385,14.436
51.4455,0.3892,14.4593
50.7201,0.3688,14.2635
50.8583,0.2728,14.2528
50.9001,0.4433,14.3484
51.1077,0.2071,13.84
50.2793,0.3888,14.2738
51.2986,0.2355,13.0387
51.4979,0.2701,14.3212
51.2856,0.1384,14.0383
50.3456,0.3842,14.3253
50.8208,0.3647,13.9437
50.6995,0.3616,14.1541
51.3304,0.3618,14.1585
51.1193,0.2704,12.5552
51.592,0.2121,13.7086
51.4089,0.1966,14.1628
51.662,0.1944,14.0513
51.1582,0.3403,14.0991
50.8173,0.3871,14.0785
50.8317,0.48,14.5918
51.3702,0.2679,14.4357
51.3,0.2288,14.2315
51.2278,0.2627,14.3628
51.4435,0.1994,14.0666
50.6767,0.2344,14.2544
51.0737,0.348,14.7546
50.1611,0.4684,15.378
50.5597,0.299,14.8785
50.9114,0.2958,14.923
50.509,0.3689,15.2983
50.9423,0.4718,15.2778
50.7427,0.3949,14.963
50.5638,0.5142,15.1457
50.7328,0.3287,14.4184
50.7498,0.2669,13.9256
51.0979,0.3842,14.28
51.138,0.2087,14.1239
51.2122,0.2868,14.5036
50.7892,0.3672,14.3232
50.6935,0.4089,14.7666
50.3014,0.3987,14.6395
50.2914,0.4679,14.7548
50.0839,0.4125,14.5966
50.0671,0.5008,14.638
49.9579,0.4774,14.667
49.2515,0.5259,14.524
49.0982,0.515,14.746
50.4172,0.3899,15.078
50.7359,0.4439,15.3499
50.5559,0.4688,15.3195
50.2315,0.4789,15.4402
50.1857,0.5257,15.4112
50.6168,0.5304,15.7031
50.6633,0.549,15.7378
50.7791,0.5088,15.7023
50.5775,0.5855,15.1927
49.2249,0.4069,14.7241
49.4098,0.4313,15.1817
49.3073,0.6032,15.2383
50.3277,0.4583,14.9566
50.1761,0.5786,14.8299
49.775,0.4366,14.8612
50.2664,0.3627,14.885
50.4523,0.3032,14.9287
50.1073,0.3133,15.0784
50.1678,0.3444,14.5269
50.4261,0.2632,14.6173
50.379,0.4581,14.6032
50.3202,0.4364,14.8733
50.3849,0.4102,15.2347
50.7596,0.5362,15.2798
50.2587,0.4669,14.4101
50.157,0.4814,14.833
49.6237,0.5454,12.8615
49.3922,0.5657,14.1733
49.7607,0.5379,14.1761
49.1385,0.4166,13.5706
49.5974,0.391,13.2523
52.9456,0.1712,15.0097
53.1473,0.2291,15.5106
53.5792,0.214,15.123
53.2546,0.2255,15.3089
52.3864,0.3937,15.6188
52.4278,0.3018,15.0674
51.6464,0.4276,15.2593
53.0066,0.2815,12.1546
51.4958,0.3151,15.1963
52.8648,0.3023,14.8244
52.2519,0.2708,15.2021
51.893,0.3443,15.1199
51.2686,0.7428,15.5714
52.1453,0.6029,14.6242
55.7725,0.61,14.5808
57.5911,0.6851,14.12
48.8624,0.6918,14.0472
50.2228,0.4887,13.5024
51.4738,0.4908,12.979
52.5387,0.4584,14.5193
52.372,0.5789,14.7721
50.9776,0.6048,14.3711
52.128,0.3785,14.7555
52.7119,0.2063,13.8139
51.3316,0.3893,14.5646
51.5449,0.3161,14.4746
51.5894,0.3429,14.7603
51.1646,0.4387,14.8849
50.4496,0.2433,13.8854
50.8583,0.3373,14.2073
52.2312,0.2048,14.4318
51.8928,0.3158,14.549
51.6369,0.4298,14.8551
49.8338,0.5094,14.2259
48.3173,0.6402,13.7634
47.4402,0.4684,13.4856
48.145,0.4524,13.5744
50.1896,0.4088,14.1429
49.189,0.4395,13.4283
50.9729,0.3167,13.9383
51.2697,0.203,12.6432
50.9078,0.2297,13.6479
52.4326,0.1158,13.7734
52.3604,0.1871,13.9573
51.3528,0.392,14.1994
51.6402,0.1535,12.7155
52.8724,0.2592,12.4373
51.4776,0.178,13.8451
52.518,0.1585,13.894
52.4753,0.1503,13.832
52.6135,0.1659,13.6278
53.3779,0.2411,12.0704
52.021,0.1293,13.5623
51.7815,0.0665,13.5301
51.7198,0.226,13.7451
52.2425,0.1743,13.7217
50.3638,0.4554,13.6961
53.3934,0.2693,10.3534
52.5202,0.5892,12.0152
50.8058,0.3427,12.9213
51.8744,0.192,13.7447
52.0504,0.1944,13.7682
52.773,0.0701,13.9193
53.0681,0.1602,13.3577
51.8211,0.1604,13.7433
52.8562,0.1067,13.8254
51.3418,0.4035,14.0615
48.0522,0.529,12.9257
48.8302,0.6946,13.8484
52.2636,0.1044,13.5563
52.9229,0.2253,13.3066
53.4051,0.1392,13.6503
51.9638,0.1265,13.5467
52.4277,0.0295,13.9193
53.0676,0.1804,12.8236
53.2111,0.1849,13.8745
52.7464,0.2124,14.0161
53.0747,0.0701,13.6805
53.0047,0.0065,13.6702
52.2191,0.2719,12.905
52.3785,0.1988,13.8822
51.9446,0.1859,13.5681
51.8503,0.4176,11.4761
50.9926,0.3428,12.7535
53.1478,0.1732,9.8119
51.5748,0.2956,13.8092
52.7959,0.2592,10.625
53.3834,0.4164,11.0054
51.8627,0.2505,14.0634
51.2617,0.4229,13.877
51.3254,0.3503,11.2906
51.0751,0.3239,13.8873
53.183,0.1884,8.9652
48.7926,0.4732,9.9531
52.3874,0.3489,9.2017
47.3664,0.5925,12.8456
47.2654,0.5536,13.2598
46.3359,0.4905,13.2299
47.7364,0.4794,12.985
48.4503,0.4977,12.9897
48.352,0.6511,13.0897
51.3809,0.2777,10.2128
47.9336,0.6411,13.6545
48.1497,0.6325,12.5682
46.402,0.6548,13.6603
47.2826,0.5247,12.9045
46.4218,0.5798,13.0242
47.5987,0.5422,11.6391
47.7394,0.5343,12.842
47.7916,0.4196,12.6831
47.6811,0.4879,13.1428
47.4011,0.7043,13.2262
46.6511,0.6183,13.027
46.3715,0.7342,13.1923
48.9516,0.4809,13.5008
49.5874,0.5655,13.692
47.4397,0.8583,13.2896
47.4477,0.8345,13.4424
48.2347,0.8563,13.4006
47.7652,0.8969,13.34
49.1087,0.975,12.7432
49.5731,0.788,12.0664
47.3495,0.5671,11.3171
48.5039,0.6389,10.9772
48.5747,1.1107,12.9592
48.0752,1.1646,13.0674
48.2497,0.7539,12.886
48.823,0.7578,13.1021
48.6484,0.6897,13.2061
49.0561,0.6252,12.5044
48.4556,0.7297,12.6569
48.6543,0.6462,12.5144
49.0805,0.8503,13.4405
49.4262,0.4642,13.4676
49.0728,0.8413,13.6019
49.0203,0.6998,11.5857
50.0056,1.0195,11.9212
49.1227,1.0257,13.0611
48.4142,0.949,13.5379
49.1953,0.6442,12.6462
49.913,0.7589,10.6795
49.2063,0.7697,12.3041
48.0478,0.8644,12.9034
49.1825,0.6705,11.3616
48.2774,0.5855,12.9406
48.1931,0.7748,13.3521
48.4942,0.7625,13.4583
48.3404,0.8373,12.3061
48.9451,0.6446,13.4833
46.8493,0.7279,13.1323
48.3746,0.5423,12.8337
47.4483,1.0055,13.3664
45.9779,1.3359,13.4302
46.7648,0.9555,12.9695
47.1481,1.0676,13.3367
47.6397,0.9301,13.5253
46.7451,1.015,13.4721
45.9459,1.2747,13.5386
45.0359,0.9545,12.7524
45.5967,0.8289,8.4024
45.2102,1.0698,13.4133
45.8296,1.0957,13.6109
46.2539,1.0465,13.601
47.3324,0.8148,13.4276
46.2516,1.0243,13.0815
44.0608,0.9516,13.7761
46.8123,0.8824,13.5497
46.3124,1.0306,12.9648
46.0247,1.1055,13.6703
46.0762,0.9854,13.2833
45.1335,1.0145,13.0269
43.5958,1.1761,13.662
43.6922,1.2619,12.7243
43.6612,1.0773,13.2756
46.8906,1.0077,10.7978
45.7321,1.1374,12.045
46.0152,1.0872,13.026
48.2556,0.7988,9.5951
46.3744,1.0377,13.127
46.0449,0.9598,13.3787
46.8542,1.0394,12.979
46.324,1.2098,13.2881
45.3295,1.1894,13.159
46.8227,0.9797,12.8274
